Entier,val1,val2
431,7h6WtQwcnVjvQZf,ILU0VxY8wfdUBn5
1592,mlSlOTLFO5Pt45P,jnGU5b5L5HL6FtA
1876,Nuiymk8f5kUkiaC,rIwPgwDl13cOJxN
476,WDf8DNwGomXpBEu,mDdm0jlV3EFDmIl
1849,IFGb8RuQFERoQcf,hRkkTY0lMRIbuTU
1710,KVKqodsF0CtNN0z,Qi2H5NtcmpEoaiH
1106,wZu2bHF40XYL7kK,JSV19UpAqrN3RB9
1206,F7hJo19jfzrDW2V,pmZq0Tf1MKbHhyo
1347,yJl5NWG4Ic3ETXH,45zFTRyxo24okNg
33,8iPgwKSMxHaOpa6,JV2DB0IWZsjB0qx
1382,bWDspitOUpopzj3,gfzq8Oahr0SlirQ
1337,2swlzb8ZxbFunbl,1PAim4WKn4QaxCX
1367,lOogd8BoZSkxIwY,2xl6YS4JSyTakzw
650,yCsuODkU0KfZ4mn,PsEMAvNC1Bt5SaA
1920,uNXSz9gwYpxZ5Ka,lfKzd9GpWskVLlt
1365,sZqOaiOJ5WAb0ky,vhv2QXCgqE9FiuK
134,sTHgI68R78JOZDM,bu5nDhkikm19FM6
1616,nFjXoqQLXZCwRyP,8Zg9UJwk8RGtv41
472,toLTdglfYauctph,z1LsE7xXHfzwfZM
361,wDNJMTcgsPV6YRP,ng01rFDxln9y8Xz
1007,gJfgvkxpew8w1tk,1O0VKF13sF7zrR2
1566,6ZGN0sPQsFRV9a4,LGaed4nFfSBcHvE
3,v4CI1W1GhLWDSBz,TpuTT2AMMxYUYqp
396,KR7abmM0bgj6FCm,mDUug82GftEx8Vb
1740,vgnYk0NFa2GhqVl,3N23SjELIDY43yd
441,erlSAj9oL1x69xf,wy6sfMXYCIbOuty
86,WLzmBo9KWwY5VSW,0sD6LvQAYBIxQ38
179,bY9G5vJUW1XUBqe,uAPAgetPdPpwxqE
1249,51OvM8okYY9iNO2,VRu3mDLuzciB8fs
756,c7VNR05vRywJvZ5,eEJCB3MgMXauUh1
1579,T6JqjRm4CcHieWJ,CJFIWAT952ePUlB
1373,BdoFCKkNlXA39ph,qufbBMoBn7ozwq4
755,qDwMKVcBPno7Ll9,11cuZ9hYvNIWWAT
1516,pnjBIELr3x6LAx1,fWB0PBqKNqmXjbe
1450,Iyq2HKHhMBW14iW,G3TRdY5fie08i3o
833,QdMDBQ2ZUouvmHr,pmyJrVyh3VcsGeK
1756,jeqKlC1sRC9W0o9,qyG1TIc3H645gny
1860,HrC1XCAAYYdWceL,c8Sb5fjj7dZeOKq
944,0N2PJnhe4phwtjc,mPHyelcbPQP1OwB
1786,Z7cFZNTxWubpG2w,zw36GgVLwJeN1bK
1647,8lqvQya97DNUgRy,f39NUHifwdUiuw2
1050,HCBjd0fVcmJCPiJ,nuY1Y7wOoW8iuNI
873,AtKfa28rK5CrJFP,wR35NVhCc0rLOie
804,RtXhRnym4T4PYK7,JPOMIbZEFjXx8JL
786,xuGU8nR5IJFoTtK,hPEreFpnEWj3q1f
1736,5n08mT1YQ4G9tBi,13TmpgZDsElU5ah
224,cmL4EYP49bD3Uqz,TPUmL7EF8Ltxjgy
1518,X6mlODQXOWtwIzA,wzJ21TfvUpezFf2
1820,sHd3qzUiba1LZPv,k4pzfUpiNsYJqfn
1081,m80IrcfVVIpQyKl,CgIS5xf1fXu9R18
1150,J8Z9nSGOP1XuY5N,55nfYC2ThNuC7Sj
