Entier,val1,val2
1487,HduIjlwXc1z8tp0,HoAejS027JZQmYl
1882,IeA0KUQowfyxvEU,VwbsuZGSweRQSu6
910,8YC8upCKcVwMmrx,a0tvV6nldu6SKC0
184,DmGocVFrnIuh545,R0lL7rWcR7yFlf3
1564,xDMZDicKRGdjNsZ,jJZHiRMdV6GMOcH
659,KSnndQbpVmKI7bb,kWjAXyGK1iWm09L
994,CD0mtZNrvlmPcKf,buQe6Ib5RTnYdmg
362,hGRyN9hvm7VdBSv,GFkDXFPsYw232tn
1978,YgVSDq8ClT6uxfk,2fKjhEeYMizMalV
1822,zt8uM7XqBfeXOVP,hPQNZBevw0IztIT
703,QuIquGDPQPg5a6f,WKOJsxGWDzlYiYf
1062,vQImscSfMhhuOF3,rfTOpssijgIVTC0
1540,pJSX5OwW1dpCGpw,oT3TWEi6x1Wt6bj
1934,ET2HmwoIKWDQXjj,3tZf1lUKmsOqWSB
250,yomo50oIB0Asroa,kch2TgB27CHYlcK
1485,gTTvHqcMdHNQNdG,QaWLfebn41gUXTd
791,82dmNzzW5lrYZJc,szAKNGFKdegfYmS
1587,dsutMptH1AzaJwW,dBJgTsr1llfophH
987,h3fSe1C1LLhCCuX,cHPOPLtBZqBGpSU
1027,groW23kHoOv5HKi,hi6TVVIlFYs0Ew4
383,N5J06Nk060B5Pod,msg3jtsMeN7Wm6O
1410,2oc28cyvmyk2CEp,xStxoO7zBgUTS5g
1280,1jcKFwTIPbFddIl,9F8ItY5eZk1xhqW
863,3lpC0i3zOL7BOTU,IIJtRH3zUn08VWy
1494,5PtPyJJOzesR7ie,elESjXEjgcKPnBr
1977,h8vXizsaTwLPqMB,Qy0f8WEoFK2hJw9
1938,RHNLp3XlwRsaoJZ,OM7D5kQHxTZZ2T3
539,D1guwa8fN5FY9Y9,Alyz8DICLnrE2v3
1361,amVwssbViJ0CPcQ,L4wVNy8jhhFvfGP
988,dhVLOUZEIhtbPXo,hfKEB8EMwtOgaSZ
303,6mwdaH8wLjpmuZY,HHPiZqzn2maLRAe
1310,BCxmoPPRvcqAwh9,Bibrn7JTej6AXZ8
1487,4FFnQ7puAtubBwo,iWBX1sAEwlnVBXh
256,2Cn7N8hn87Lm7Ex,LmHrv7yapwCAXKy
1457,ozmtsmSAH4lPCRP,poWH0qmy9CH4E1O
1927,HZEer0kMZNWrXyF,T91fzQpYK048Ziq
788,AhvLyubszxz9WHW,Rz8eoKQo2OymcXA
1436,5YXSIS3OPOIeNVZ,DpQx6gjR7qT5tso
345,Ph6CTAfeZfTB5Er,e0tHPabIb0evT0w
1155,3CIv5XulIDvQ65K,IcgLmcVtuQpckiM
1131,wftc97wrmUsCokb,8tU0bwxu9IgLMfv
1164,MIwEcDUpKbPIdAs,J6mSnaITskGMtya
789,Zo0F0xYseE1UWtw,fUmoWXfJ4YtqTL9
712,3NrOkqXblRRcPMQ,CnwA0Kv2CveEYSi
705,ONcs0i4Re5rnk23,VjFiHIInzHcALBC
1292,8635cmUUsKI1ys7,4WgsRoZtbTKVvfs
1314,aAh6vQyQJTNxQAT,QVywtBLqsSs2AFw
1364,RTxpG5Fc4MW8rzq,cs2Z4pGGKh8lTbz
286,Q2DtxNf7zs2Xg57,x5Pw53yJBry7ZwU
1897,m3KVlaYuPURs4xT,j56ee4wMwg6SFdF
936,XuuFNYfZUrGRPti,ZvbKahQsgUTYftZ
1666,EEAAQ6mp0wb7OYx,LkK0nLPQSEQlMN6
1218,gcKvhIQ4OzQM0WZ,gf0PSmrGtpxHzNH
545,eAK47WLGbDr4vrB,bLvNpdjArcAXNpS
183,KRP9FIbjLpJzCB4,9PMOOS3YhUNMCWE
633,lFADHMJrhVBtrNT,HU4guc75hc6yKPi
1286,c75Ev5bakOB5pYc,ztirATH2wBUVIri
911,yWHkOVOp9cKHH5g,yNeCKLvSaEN38u8
1561,lJ27kNbR1g2Pmnq,qkZnBRtrsFUNSWy
425,4Myke5V9OqSUV9A,OPeZffZcM1VcIP1
900,0JElrHIWtxiNNUz,UvsI5gGOJwK9gWH
1571,HeOTrokmUZp46AX,UZCiWKvnh1igTbH
1695,LmsAXH14FICxYih,f69gatQJK3B6hk7
1722,FdYgKgQ2SAOcl6q,CrGf53OTIv3tKGl
314,J8dASLt7wJqmpYB,cEGm5wLCxTX3N3G
1000,SqnBIkaAhUpnUJv,bhWHK5LJruXT4jc
160,2yjprOmjSxqqpdK,QVzzpbH9oy46iQT
1488,TUTbqakUkawIbW7,YyxxibPUeRESnlT
507,0tFYQJq6vD6vUat,7n4026FrPXb21TK
1209,jrtGPoPhHbOwXFt,l3398Ekc4U95zeD
371,58UF7OWscau7g5p,7UbpDEkka3sEAGA
1613,GF0iO94C56er4uE,xwWH6sTK896tlYS
759,rH3EmSDeia4SMiT,R5qfeqwizUVX4v3
967,wr3IPYbNQZ6qtM3,vi8YsirOc8X2pIK
1661,6grcFCyq0jFv5sV,OYq9LmDuZjQARkr
1245,2tt0JNcvkwv7wuL,TFYPDI55potBYQR
402,zt7R767MAov1PyN,SnJU83ot8aoX1Cl
1725,RlFOxz9j9W43ipI,hOIZ4kW3EAK69mu
461,YFnpPNQ6U4jmw6O,vevUDYa2odUXRjk
455,hLUkZwVQdAvVX0f,zdzaLNzMrmJgtzB
1840,WgZ0nGAavczqrmS,b6s2zGiNCFztVSx
1518,8c2KAjJzMror5EZ,78Om86UKObwiNK1
1708,EKNXWceNqFdQFX3,zEfSmqkBxo75jH5
986,KpbfnSi8eaUgMBY,nlCpij80qGbmeYK
894,Y4MlxXCv6VTzHQe,WeOqc4ramMZNID5
1741,eYhBvswZyRS8rjc,RWW7JnrWz5hlVuQ
1773,1FhGmi9ILHN59qS,wZ1ZHAAhmj7FJ4y
1657,o2h0OxRIB64ywYJ,xWbU6yPpyMNk1QE
708,UzwLZ4WKTbOYlpe,C93DNJQdgsfiYgv
1926,dzetjW8V77hRxeV,n9ywwRQ1BvZUjiW
1835,HqfMQ1qjz2jTVwG,FkvdGVNimiblJu3
1996,7RhFtMxJmyqBGum,JsYswVsnSkk8aS7
1547,mrBeEraUEqXIsXc,DIYiUkmRWNwvVlT
1717,GeBVmSTRfDL97Zt,BRTfnWExyLlDPIY
23,x4Mbxjo5g63WuHl,I9kOmprvjiesVPh
671,gRhqlUeqkBh5u5Q,CdIvfmEkETR7wmN
833,mGdNVy9Pr9hURJD,rzA8PaUo4LYRA3Z
1313,UsyPsXwVxR1lqrW,qfTylFEU3MHWpA9
801,R0BV7pU7goRnxXm,C3u36hqKjCUtqyi
969,XcxcPmUMx2DvOvT,r0KzgfCczn0SVRY
1302,ut1ZWyzK8wU3EYC,jwuZxgDnkw0hVRO
1793,6BV2BoXx3CIWoxy,cYxSMoCDWFV20MR
1385,bm6hVMseQlxUWvW,HmYNt6qB3DoRNCa
1269,ZTeTnUc53qNQKiQ,ONwSB1An3rdhkM1
1189,w3As0EAZkkFFL9a,07Y3F3tDOsvliop
1896,Whws2jn45LEVTT1,IPXiMTCbtESssfb
1618,OVXFK3PMmip1S1L,faBNwgRCti9Ybxe
631,5zPesRToG3sppH2,FiHDsDv4CrDi8bZ
1908,SuC6nptG1B1tPEU,6j7xRITbOgWwJaR
1898,bJziCT0wpVAz1cK,svZyJUftP7LUOmn
580,uQ6CpDhDnmuPuLC,VI7CmWuK21Pyd3R
64,OFWXPLaKqG1EMrs,Jx1e0bCYjK22ppR
1180,wI5mNqlw5anRG9L,OdEeQTiDD3KTb7x
1340,zXPg7A2w6BjOkxd,ZDvlWfnadcucIiK
519,wCxxpZjed3pYwRX,ZdU871e0knt6o8I
1418,Wn0MH5JVeKGECbw,s2r9ZFmD628biu5
691,2h4p5zhyT1FYBIP,WZ0vv7rs7YZtZXb
1052,tMGsOrZtaQTewsA,yx9JdMARfeQwqQi
932,OOyR1esRcMJ7y8s,n0BmfYtmDw8TomX
1894,gvbaEXNziFpizIA,iDRdb1ihsaG96fx
1656,LLFnyxSQavz7o7h,I63KJYP42Svi8eX
1971,bXbnoIF6sizRKuq,aYoMf3sKQEwO5YZ
824,wjAW2ECKN7CeL3I,O6jbj7riLmYcFAg
1770,12sMGAzNbkHORfk,WfArrsF6rMKdghc
232,t06oMc616TWypVJ,QisP0YtnBRiKO0F
1103,a2AQC8b3btpoBxX,5EbFQbRiugyzZdz
843,lajyttdI3qR6ELA,xoG8BkYqL0zhR65
1446,F2YopQHLDfPsFK7,wkuwzOBqGDKPzcy
388,KbGp4jlxbUFuvHq,VaatgY1bpcL5wLK
1961,SkEfFZN0Q9NaQSa,5MkoCG7NfrKHzAE
1048,5rP7AJkWloHaEei,HGKkuXRBL4pYrSr
1989,nhM4iFALjfwp6Yl,y3mRenPDTBxFju2
548,80yuJpaKelxrOeI,QDKfHKkNgklGGwj
292,UP3duUmBtb8JTjM,u4Sfavy7iWBYcgi
1282,9I1ATbSdegCESfo,Q7HcpmvHlzBrKVy
527,sGEy5EJ2O3pn0Pz,rboPAd93zGBQvJT
724,gluD4tgt002kJoB,pw2Xf8hm4aoIwEf
1521,JehZHVrpHSno7ci,MA7hwxE4ysXZP77
234,OK7QwBDykreqRhg,zAIqAyZF0GG5VMJ
