Nombre de colonnes,Méthode,Temps d'exécution,Coût
10,Hash Join,0.097,176.18
10,Merge Join,0.146,178.15
10,Nested Loop,0.204,10876.62
100,Hash Join,0.106,176.18
100,Merge Join,0.171,178.15
100,Nested Loop,1.239,10876.62
1000,Hash Join,0.488,176.18
1000,Merge Join,0.948,178.15
1000,Nested Loop,104.015,10876.62
5000,Hash Join,2.904,2439.31
5000,Merge Join,6.273,1550.45
5000,Nested Loop,2447.884,191337.83
10000,Hash Join,4.628,9339.33
10000,Merge Join,11.197,5084.01
10000,Nested Loop,8626.408,765022.65
15000,Hash Join,7.075,20371.09
15000,Merge Join,16.915,10403.53
15000,Nested Loop,19015.398,1693848.44
20000,Hash Join,10.907,1411.7
20000,Merge Join,24.287,4070.58
20000,Nested Loop,34072.982,3023123.76
25000,Hash Join,13.105,1797.66
25000,Merge Join,31.373,5171.14
25000,Nested Loop,56752.542,9375980.5
